select road_id, toll_flag, name_chn,alias_chn,ad_code,route_no,link_type from roadsegment where alias_chn like '%乌奎高速%';
--------------+-----------+--------------------+------------------------------------+---------+------------------+-----------
     46938890 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629297396490 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629298445066 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629301590794 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629302639370 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629304736522 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629305785098 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629307882250 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629308930826 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629309979402 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629317319434 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629318368010 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629319416586 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
 629320465162 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629321513738 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654003  | Ｇ３１２         |         0
 629389671178 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629401205514 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629402254090 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629494528912 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629496626064 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629499771792 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629501868944 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629503966096 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629505014672 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629527034768 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629528083344 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629529131920 |         2 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629530180496 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629531229072 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629532277648 |         2 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629608823696 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 659001  | Ｇ３１２         |         0
 629609872272 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 659001  | Ｇ３１２         |         0
 629611969424 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629613018000 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629758770064 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629798615952 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 629797567448 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 629798616024 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 629835315981 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629836364557 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629837413133 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629838461709 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654223  | Ｇ３１２         |         0
 629839510285 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654223  | Ｇ３１２         |         0
 629840558861 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629841607437 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629842656013 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629843704589 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654223  | Ｇ３１２         |         0
 629844753165 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654223  | Ｇ３１２         |         0
 629845801741 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654223  | Ｇ３１２         |         0
 629846850317 |         1 | Ｇ３０连霍高速入口 | ３１２国道｜乌奎高速入口           | 654223  | Ｇ３１２         |         0
     31210321 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   1492925265 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2674670417 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2675718993 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2676767569 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2677816145 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2678864721 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2680961873 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2682010449 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2684107601 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
   2685156177 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630770645841 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630772742993 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630860823377 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630865017681 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630917446481 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 659001  | Ｇ３０｜Ｇ３１２ |         3
 630918495057 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 630919543633 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 659001  | Ｇ３０｜Ｇ３１２ |         3
 630920592209 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 637683907409 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630232726417 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630528424849 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
      3947272 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
      4995848 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     11287304 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     12335880 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     31210248 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2853976840 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2855025416 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2856073992 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2857122568 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2858171144 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2860268296 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
