304M	91.txt
12G	DENALI_3DLANDMARK
496M	DENALI_3DLANDMARK_DELTA
4.0K	DENALI_NGX
4.0K	DENALI_NGX_DELTA
395G	DENALI_NGXTRAFFIC
319G	DENALI_NGXTRAFFIC_DELTA
60G	DENALI_PBF
35G	DENALI_PBF_DELTA
278M	DENALI_TRAFFIC
32K	DENALI_TRAFFICPATTERN
51G	DENALI_WAYIDMAPPING
100K	GEN3_TRAFFICPATTERN
0	GENERAL_PBF
78G	GENERAL_PBF_DELTA
2.7G	JUNCTION_VIEW
280M	ONBOARDSEARCH
60G	ONBOARD_SEARCH
8.7G	UNIFIEDCLOUD
136G	UNIFIEDONBOARD
56K	WOLVERINE_NGXTRAFFIC
44K	WOLVERINE_NGXTRAFFIC_DELTA
244K	WOLVERINE_TRAFFICPATTERN
4.3G	YANGZI_3DLANDMARK
8.0K	YANGZI_3DLANDMARK_DELTA
256G	YANGZI_NGX
601M	YANGZI_PBF
3.8G	YANGZI_TRAFFIC
3.9G	YANGZI_TRAFFICPATTERN
8.3G	YANGZI_WAYIDMAPPING
50G	YAUDIO
