29G	DAUDIO
13G	DENALI_3DLANDMARK
496M	DENALI_3DLANDMARK_DELTA
83G	DENALI_NGX
11G	DENALI_NGX_DELTA
394G	DENALI_NGXTRAFFIC
473G	DENALI_NGXTRAFFIC_DELTA
59G	DENALI_PBF
35G	DENALI_PBF_DELTA
278M	DENALI_TRAFFIC
383M	DENALI_TRAFFICPATTERN
74G	DENALI_WAYIDMAPPING
100K	GEN3_TRAFFICPATTERN
656G	GENERAL_PBF
134G	GENERAL_PBF_DELTA
4.4G	JUNCTION_VIEW
698M	ONBOARDSEARCH
102G	ONBOARD_SEARCH
8.7G	UNIFIEDCLOUD
226G	UNIFIEDONBOARD
56K	WOLVERINE_NGXTRAFFIC
44K	WOLVERINE_NGXTRAFFIC_DELTA
244K	WOLVERINE_TRAFFICPATTERN
4.3G	YANGZI_3DLANDMARK
8.0K	YANGZI_3DLANDMARK_DELTA
316G	YANGZI_NGX
601M	YANGZI_PBF
4.3G	YANGZI_TRAFFIC
4.7G	YANGZI_TRAFFICPATTERN
8.3G	YANGZI_WAYIDMAPPING
26G	YAUDIO
