   id   | ?column? |        ?column?        
--------+----------+------------------------
 110000 | L2       | 北京市
 119900 | L3       | 北京市
 120000 | L2       | 天津市
 129900 | L3       | 天津市
 130000 | L2       | 河北省
 130100 | L3       | 石家庄市
 130200 | L3       | 唐山市
 130300 | L3       | 秦皇岛市
 130400 | L3       | 邯郸市
 130500 | L3       | 邢台市
 130600 | L3       | 保定市
 130700 | L3       | 张家口市
 130800 | L3       | 承德市
 130900 | L3       | 沧州市
 131000 | L3       | 廊坊市
 131100 | L3       | 衡水市
 140000 | L2       | 山西省
 140100 | L3       | 太原市
 140200 | L3       | 大同市
 140300 | L3       | 阳泉市
 140400 | L3       | 长治市
 140500 | L3       | 晋城市
 140600 | L3       | 朔州市
 140700 | L3       | 晋中市
 140800 | L3       | 运城市
 140900 | L3       | 忻州市
 141000 | L3       | 临汾市
 141100 | L3       | 吕梁市
 150000 | L2       | 内蒙古自治区
 150100 | L3       | 呼和浩特市
 150200 | L3       | 包头市
 150300 | L3       | 乌海市
 150400 | L3       | 赤峰市
 150500 | L3       | 通辽市
 150600 | L3       | 鄂尔多斯市
 150700 | L3       | 呼伦贝尔市
 150800 | L3       | 巴彦淖尔市
 150900 | L3       | 乌兰察布市
 152200 | L3       | 兴安盟
 152500 | L3       | 锡林郭勒盟
 152900 | L3       | 阿拉善盟
 210000 | L2       | 辽宁省
 210100 | L3       | 沈阳市
 210200 | L3       | 大连市
 210300 | L3       | 鞍山市
 210400 | L3       | 抚顺市
 210500 | L3       | 本溪市
 210600 | L3       | 丹东市
 210700 | L3       | 锦州市
 210800 | L3       | 营口市
 210900 | L3       | 阜新市
 211000 | L3       | 辽阳市
 211100 | L3       | 盘锦市
 211200 | L3       | 铁岭市
 211300 | L3       | 朝阳市
 211400 | L3       | 葫芦岛市
 220000 | L2       | 吉林省
 220100 | L3       | 长春市
 220200 | L3       | 吉林市
 220300 | L3       | 四平市
 220400 | L3       | 辽源市
 220500 | L3       | 通化市
 220600 | L3       | 白山市
