 prn_code |     pfn_name     | fc |  cnt  
 110000   | 北京市           | 1  |    36
 110000   | 北京市           | 2  |   135
 110000   | 北京市           | 3  |   787
 110000   | 北京市           | 4  |  3334
 110000   | 北京市           | 5  | 12837
 120000   | 天津市           | 1  |    19
 120000   | 天津市           | 2  |    80
 120000   | 天津市           | 3  |   490
 120000   | 天津市           | 4  |  2180
 120000   | 天津市           | 5  |  8179
 130000   | 河北省           | 1  |     8
 130000   | 河北省           | 2  |   373
 130000   | 河北省           | 3  |  1771
 130000   | 河北省           | 4  |  4473
 130000   | 河北省           | 5  | 15142
 140000   | 山西省           | 2  |   239
 140000   | 山西省           | 3  |   819
 140000   | 山西省           | 4  |  3309
 140000   | 山西省           | 5  |  7635
 150000   | 内蒙古自治区     | 1  |     9
 150000   | 内蒙古自治区     | 2  |   102
 150000   | 内蒙古自治区     | 3  |   559
 150000   | 内蒙古自治区     | 4  |  4223
 150000   | 内蒙古自治区     | 5  | 10596
 210000   | 辽宁省           | 1  |     7
 210000   | 辽宁省           | 2  |   252
 210000   | 辽宁省           | 3  |  1057
 210000   | 辽宁省           | 4  |  5020
 210000   | 辽宁省           | 5  | 12874
 220000   | 吉林省           | 1  |    13
 220000   | 吉林省           | 2  |    73
 220000   | 吉林省           | 3  |   254
 220000   | 吉林省           | 4  |  1542
 220000   | 吉林省           | 5  |  4989
 230000   | 黑龙江省         | 1  |    10
 230000   | 黑龙江省         | 2  |   118
 230000   | 黑龙江省         | 3  |   556
 230000   | 黑龙江省         | 4  |  1751
 230000   | 黑龙江省         | 5  |  7859
 310000   | 上海市           | 1  |     8
 310000   | 上海市           | 2  |   148
 310000   | 上海市           | 3  |   795
 310000   | 上海市           | 4  |  4985
 310000   | 上海市           | 5  | 19877
 320000   | 江苏省           | 1  |     3
 320000   | 江苏省           | 2  |   538
 320000   | 江苏省           | 3  |  3080
 320000   | 江苏省           | 4  | 18707
 320000   | 江苏省           | 5  | 52744
 330000   | 浙江省           | 1  |    14
 330000   | 浙江省           | 2  |   361
 330000   | 浙江省           | 3  |  1718
 330000   | 浙江省           | 4  |  9843
 330000   | 浙江省           | 5  | 37953
 340000   | 安徽省           | 2  |   426
 340000   | 安徽省           | 3  |  1566
 340000   | 安徽省           | 4  |  5339
 340000   | 安徽省           | 5  | 25931
