 prn_code |     prn_name     | fc |  cnt   
 430000   | 湖南省           | 1  |  12364
 120000   | 天津市           | 3  |  17550
 330000   | 浙江省           | 3  |  69076
 450000   | 广西壮族自治区   | 3  |  32459
 610000   | 陕西省           | 2  |  24268
 420000   | 湖北省           | 4  |  41594
 370000   | 山东省           | 1  |  12981
 210000   | 辽宁省           | 3  |  58498
 610000   | 陕西省           | 5  | 127998
 320000   | 江苏省           | 1  |  10500
 360000   | 江西省           | 3  |  42802
 820000   | 澳门特别行政区   | 4  |   1778
 510000   | 四川省           | 3  |  55491
 220000   | 吉林省           | 1  |   9902
 140000   | 山西省           | 3  |  42561
 620000   | 甘肃省           | 1  |   7141
 620000   | 甘肃省           | 2  |  12999
 220000   | 吉林省           | 5  | 102396
 360000   | 江西省           | 4  |  38324
 620000   | 甘肃省           | 5  |  64527
 510000   | 四川省           | 4  |  58580
 220000   | 吉林省           | 2  |  13562
 320000   | 江苏省           | 5  | 582935
 140000   | 山西省           | 4  |  31747
 320000   | 江苏省           | 2  |  39822
 370000   | 山东省           | 5  | 326699
 330000   | 浙江省           | 4  | 108328
 120000   | 天津市           | 4  |  23785
 370000   | 山东省           | 2  |  62046
 610000   | 陕西省           | 1  |  16453
 430000   | 湖南省           | 5  | 194396
 420000   | 湖北省           | 3  |  54154
 450000   | 广西壮族自治区   | 4  |  18738
 430000   | 湖南省           | 2  |  26683
 210000   | 辽宁省           | 4  |  52896
 130000   | 河北省           | 4  |  51555
 640000   | 宁夏回族自治区   | 3  |   9125
 410000   | 河南省           | 4  |  75836
 500000   | 重庆市           | 5  |  96289
 340000   | 安徽省           | 4  |  51741
 310000   | 上海市           | 4  |  46239
 520000   | 贵州省           | 4  |  11033
 500000   | 重庆市           | 2  |   7816
 350000   | 福建省           | 1  |  16683
 230000   | 黑龙江省         | 3  |  27260
 460000   | 海南省           | 4  |   5923
 530000   | 云南省           | 1  |  13015
 810000   | 香港特别行政区   | 5  |  18500
 630000   | 青海省           | 4  |   3246
 810000   | 香港特别行政区   | 2  |    144
 150000   | 内蒙古自治区     | 3  |  32569
 110000   | 北京市           | 1  |   5415
 540000   | 西藏自治区       | 1  |   3364
 440000   | 广东省           | 4  | 143883
 650000   | 新疆维吾尔自治区 | 1  |   9039
 650000   | 新疆维吾尔自治区 | 2  |  11866
 110000   | 北京市           | 5  | 130789
 540000   | 西藏自治区       | 2  |   1799
 150000   | 内蒙古自治区     | 4  |  33133
 650000   | 新疆维吾尔自治区 | 5  | 135325
 630000   | 青海省           | 3  |   6824
 110000   | 北京市           | 2  |   9696
 540000   | 西藏自治区       | 5  |  12629
 810000   | 香港特别行政区   | 1  |   2321
 440000   | 广东省           | 3  | 118327
 530000   | 云南省           | 2  |  18967
 130000   | 河北省           | 3  |  90111
 640000   | 宁夏回族自治区   | 4  |  13508
