 prn_code |     prn_name     | fc |  cnt   
 110000   | 北京市           | 1  |   5415
 110000   | 北京市           | 2  |   9696
 110000   | 北京市           | 3  |  28231
 110000   | 北京市           | 4  |  43539
 110000   | 北京市           | 5  | 130789
 120000   | 天津市           | 1  |   4935
 120000   | 天津市           | 2  |   7227
 120000   | 天津市           | 3  |  17550
 120000   | 天津市           | 4  |  23785
 120000   | 天津市           | 5  |  88170
 130000   | 河北省           | 1  |  14157
 130000   | 河北省           | 2  |  55803
 130000   | 河北省           | 3  |  90111
 130000   | 河北省           | 4  |  51555
 130000   | 河北省           | 5  | 281412
 140000   | 山西省           | 1  |  10271
 140000   | 山西省           | 2  |  28852
 140000   | 山西省           | 3  |  42561
 140000   | 山西省           | 4  |  31747
 140000   | 山西省           | 5  | 126684
 150000   | 内蒙古自治区     | 1  |   8781
 150000   | 内蒙古自治区     | 2  |  26229
 150000   | 内蒙古自治区     | 3  |  32569
 150000   | 内蒙古自治区     | 4  |  33133
 150000   | 内蒙古自治区     | 5  | 119489
 210000   | 辽宁省           | 1  |   7782
 210000   | 辽宁省           | 2  |  28206
 210000   | 辽宁省           | 3  |  58498
 210000   | 辽宁省           | 4  |  52896
 210000   | 辽宁省           | 5  | 169276
 220000   | 吉林省           | 1  |   9902
 220000   | 吉林省           | 2  |  13562
 220000   | 吉林省           | 3  |  21343
 220000   | 吉林省           | 4  |  24806
 220000   | 吉林省           | 5  | 102396
 230000   | 黑龙江省         | 1  |   7968
 230000   | 黑龙江省         | 2  |  12821
 230000   | 黑龙江省         | 3  |  27260
 230000   | 黑龙江省         | 4  |  18717
 230000   | 黑龙江省         | 5  | 132360
 310000   | 上海市           | 1  |   4015
 310000   | 上海市           | 2  |   7085
 310000   | 上海市           | 3  |  21606
 310000   | 上海市           | 4  |  46239
 310000   | 上海市           | 5  | 155200
 320000   | 江苏省           | 1  |  10500
 320000   | 江苏省           | 2  |  39822
 320000   | 江苏省           | 3  | 121024
 320000   | 江苏省           | 4  | 188227
 320000   | 江苏省           | 5  | 582935
 330000   | 浙江省           | 1  |  11881
 330000   | 浙江省           | 2  |  29864
 330000   | 浙江省           | 3  |  69076
 330000   | 浙江省           | 4  | 108328
 330000   | 浙江省           | 5  | 426497
 340000   | 安徽省           | 1  |   7590
 340000   | 安徽省           | 2  |  26757
 340000   | 安徽省           | 3  |  56651
 340000   | 安徽省           | 4  |  51741
 340000   | 安徽省           | 5  | 241658
 350000   | 福建省           | 1  |  16683
 350000   | 福建省           | 2  |  23678
 350000   | 福建省           | 3  |  49398
 350000   | 福建省           | 4  |  26866
 350000   | 福建省           | 5  | 144325
 360000   | 江西省           | 1  |   9459
 360000   | 江西省           | 2  |  26091
 360000   | 江西省           | 3  |  42802
 360000   | 江西省           | 4  |  38324
 360000   | 江西省           | 5  | 153479
 370000   | 山东省           | 1  |  12981
 370000   | 山东省           | 2  |  62046
 370000   | 山东省           | 3  | 169709
 370000   | 山东省           | 4  | 121684
 370000   | 山东省           | 5  | 326699
 410000   | 河南省           | 1  |  12600
 410000   | 河南省           | 2  |  43323
 410000   | 河南省           | 3  |  92368
 410000   | 河南省           | 4  |  75836
 410000   | 河南省           | 5  | 287392
 420000   | 湖北省           | 1  |  11899
 420000   | 湖北省           | 2  |  36064
 420000   | 湖北省           | 3  |  54154
 420000   | 湖北省           | 4  |  41594
 420000   | 湖北省           | 5  | 198388
 430000   | 湖南省           | 1  |  12364
 430000   | 湖南省           | 2  |  26683
 430000   | 湖南省           | 3  |  51903
 430000   | 湖南省           | 4  |  39697
 430000   | 湖南省           | 5  | 194396
 440000   | 广东省           | 1  |  23119
 440000   | 广东省           | 2  |  61259
 440000   | 广东省           | 3  | 118327
 440000   | 广东省           | 4  | 143883
 440000   | 广东省           | 5  | 621051
 450000   | 广西壮族自治区   | 1  |   8687
 450000   | 广西壮族自治区   | 2  |  24439
 450000   | 广西壮族自治区   | 3  |  32459
 450000   | 广西壮族自治区   | 4  |  18738
 450000   | 广西壮族自治区   | 5  | 137971
 460000   | 海南省           | 1  |   2671
 460000   | 海南省           | 2  |   6589
 460000   | 海南省           | 3  |  11702
 460000   | 海南省           | 4  |   5923
 460000   | 海南省           | 5  |  37381
 500000   | 重庆市           | 1  |   8390
 500000   | 重庆市           | 2  |   7816
 500000   | 重庆市           | 3  |  31594
 500000   | 重庆市           | 4  |  16522
