 prn_code |     prn_name     | fc |  cnt   
 110000   | 北京市           | 1  |    968
 110000   | 北京市           | 2  |   3377
 110000   | 北京市           | 3  |  11075
 110000   | 北京市           | 4  |  17923
 110000   | 北京市           | 5  |  34931
 120000   | 天津市           | 1  |   1217
 120000   | 天津市           | 2  |   1787
 120000   | 天津市           | 3  |   5196
 120000   | 天津市           | 4  |   9061
 120000   | 天津市           | 5  |  19512
 130000   | 河北省           | 1  |   1990
 130000   | 河北省           | 2  |  10881
 130000   | 河北省           | 3  |  20615
 130000   | 河北省           | 4  |  14532
 130000   | 河北省           | 5  |  36782
 140000   | 山西省           | 1  |   1467
 140000   | 山西省           | 2  |   6812
 140000   | 山西省           | 3  |  11568
 140000   | 山西省           | 4  |  10067
 140000   | 山西省           | 5  |  23447
 150000   | 内蒙古自治区     | 1  |   1055
 150000   | 内蒙古自治区     | 2  |   5335
 150000   | 内蒙古自治区     | 3  |   7895
 150000   | 内蒙古自治区     | 4  |  10794
 150000   | 内蒙古自治区     | 5  |  21484
 210000   | 辽宁省           | 1  |   1077
 210000   | 辽宁省           | 2  |   7227
 210000   | 辽宁省           | 3  |  12759
 210000   | 辽宁省           | 4  |  13663
 210000   | 辽宁省           | 5  |  22204
 220000   | 吉林省           | 1  |   1413
 220000   | 吉林省           | 2  |   2831
 220000   | 吉林省           | 3  |   4556
 220000   | 吉林省           | 4  |   4659
 220000   | 吉林省           | 5  |  11452
 230000   | 黑龙江省         | 1  |    938
 230000   | 黑龙江省         | 2  |   2494
 230000   | 黑龙江省         | 3  |   5240
 230000   | 黑龙江省         | 4  |   3451
 230000   | 黑龙江省         | 5  |  11381
 310000   | 上海市           | 1  |    760
 310000   | 上海市           | 2  |   2404
 310000   | 上海市           | 3  |   8755
 310000   | 上海市           | 4  |  22766
 310000   | 上海市           | 5  |  39240
 320000   | 江苏省           | 1  |   2062
 320000   | 江苏省           | 2  |  10306
 320000   | 江苏省           | 3  |  36621
 320000   | 江苏省           | 4  |  74546
 320000   | 江苏省           | 5  | 125916
 330000   | 浙江省           | 1  |   1846
 330000   | 浙江省           | 2  |  10133
 330000   | 浙江省           | 3  |  28503
 330000   | 浙江省           | 4  |  51530
 330000   | 浙江省           | 5  | 166816
 340000   | 安徽省           | 1  |   1035
 340000   | 安徽省           | 2  |   7004
 340000   | 安徽省           | 3  |  17069
 340000   | 安徽省           | 4  |  21270
 340000   | 安徽省           | 5  |  57313
 350000   | 福建省           | 1  |   1147
 350000   | 福建省           | 2  |   5527
 350000   | 福建省           | 3  |  13737
 350000   | 福建省           | 4  |   8625
 350000   | 福建省           | 5  |  40740
 360000   | 江西省           | 1  |   1419
 360000   | 江西省           | 2  |   5671
 360000   | 江西省           | 3  |  10166
 360000   | 江西省           | 4  |  10696
 360000   | 江西省           | 5  |  22701
 370000   | 山东省           | 1  |   1756
 370000   | 山东省           | 2  |  12256
 370000   | 山东省           | 3  |  38518
 370000   | 山东省           | 4  |  31661
 370000   | 山东省           | 5  |  61327
 410000   | 河南省           | 1  |   2026
 410000   | 河南省           | 2  |   9996
 410000   | 河南省           | 3  |  21402
 410000   | 河南省           | 4  |  25708
 410000   | 河南省           | 5  |  57643
 420000   | 湖北省           | 1  |   1691
 420000   | 湖北省           | 2  |   7638
 420000   | 湖北省           | 3  |  11233
 420000   | 湖北省           | 4  |  12677
 420000   | 湖北省           | 5  |  34733
 430000   | 湖南省           | 1  |   1450
 430000   | 湖南省           | 2  |   7043
 430000   | 湖南省           | 3  |  13604
 430000   | 湖南省           | 4  |  12593
 430000   | 湖南省           | 5  |  39806
 440000   | 广东省           | 1  |   3868
 440000   | 广东省           | 2  |  13190
 440000   | 广东省           | 3  |  28486
 440000   | 广东省           | 4  |  42889
 440000   | 广东省           | 5  |  86274
 450000   | 广西壮族自治区   | 1  |    850
 450000   | 广西壮族自治区   | 2  |   5730
 450000   | 广西壮族自治区   | 3  |   8340
 450000   | 广西壮族自治区   | 4  |   5939
 450000   | 广西壮族自治区   | 5  |  27574
 460000   | 海南省           | 1  |    517
 460000   | 海南省           | 2  |   1929
 460000   | 海南省           | 3  |   2757
 460000   | 海南省           | 4  |   2032
 460000   | 海南省           | 5  |   7142
 500000   | 重庆市           | 1  |    984
 500000   | 重庆市           | 2  |   2514
 500000   | 重庆市           | 3  |  10548
 500000   | 重庆市           | 4  |   5555
 500000   | 重庆市           | 5  |  30266
 510000   | 四川省           | 1  |   2517
 510000   | 四川省           | 2  |   8519
 510000   | 四川省           | 3  |  17455
 510000   | 四川省           | 4  |  21743
 510000   | 四川省           | 5  |  72955
 520000   | 贵州省           | 1  |   1686
 520000   | 贵州省           | 2  |   4164
 520000   | 贵州省           | 3  |   8980
 520000   | 贵州省           | 4  |   3458
 520000   | 贵州省           | 5  |  20387
 530000   | 云南省           | 1  |   1981
 530000   | 云南省           | 2  |   5647
 530000   | 云南省           | 3  |   7921
 530000   | 云南省           | 4  |   6903
 530000   | 云南省           | 5  |  27870
 540000   | 西藏自治区       | 1  |    618
 540000   | 西藏自治区       | 2  |    418
 540000   | 西藏自治区       | 3  |    549
 540000   | 西藏自治区       | 4  |    987
 540000   | 西藏自治区       | 5  |   2961
 610000   | 陕西省           | 1  |   1001
 610000   | 陕西省           | 2  |   6030
 610000   | 陕西省           | 3  |   8965
 610000   | 陕西省           | 4  |   8444
 610000   | 陕西省           | 5  |  31304
 620000   | 甘肃省           | 1  |    896
 620000   | 甘肃省           | 2  |   3789
 620000   | 甘肃省           | 3  |   5247
 620000   | 甘肃省           | 4  |   3066
 620000   | 甘肃省           | 5  |  20198
 630000   | 青海省           | 1  |    426
 630000   | 青海省           | 2  |   1452
 630000   | 青海省           | 3  |   1822
 630000   | 青海省           | 4  |   1263
 630000   | 青海省           | 5  |   6755
 640000   | 宁夏回族自治区   | 1  |    445
 640000   | 宁夏回族自治区   | 2  |   2077
 640000   | 宁夏回族自治区   | 3  |   3074
 640000   | 宁夏回族自治区   | 4  |   4730
 640000   | 宁夏回族自治区   | 5  |   7924
 650000   | 新疆维吾尔自治区 | 1  |    951
 650000   | 新疆维吾尔自治区 | 2  |   3203
 650000   | 新疆维吾尔自治区 | 3  |   6807
 650000   | 新疆维吾尔自治区 | 4  |   6611
 650000   | 新疆维吾尔自治区 | 5  |  21851
 810000   | 香港特别行政区   | 1  |    720
 810000   | 香港特别行政区   | 2  |     34
 810000   | 香港特别行政区   | 3  |    763
 810000   | 香港特别行政区   | 4  |   2127
 810000   | 香港特别行政区   | 5  |   1724
 820000   | 澳门特别行政区   | 4  |    179
 820000   | 澳门特别行政区   | 5  |     61
