 prn_code |     prn_name     | fc |  cnt   
 110000   | 北京市           | 1  |    981
 110000   | 北京市           | 2  |   3415
 110000   | 北京市           | 3  |  11163
 110000   | 北京市           | 4  |  17975
 110000   | 北京市           | 5  |  34745
 120000   | 天津市           | 1  |   1219
 120000   | 天津市           | 2  |   1824
 120000   | 天津市           | 3  |   5187
 120000   | 天津市           | 4  |   9066
 120000   | 天津市           | 5  |  19477
 130000   | 河北省           | 1  |   2067
 130000   | 河北省           | 2  |  11006
 130000   | 河北省           | 3  |  20841
 130000   | 河北省           | 4  |  14504
 130000   | 河北省           | 5  |  36385
 140000   | 山西省           | 1  |   1598
 140000   | 山西省           | 2  |   6846
 140000   | 山西省           | 3  |  11569
 140000   | 山西省           | 4  |  10238
 140000   | 山西省           | 5  |  23111
 150000   | 内蒙古自治区     | 1  |   1165
 150000   | 内蒙古自治区     | 2  |   5488
 150000   | 内蒙古自治区     | 3  |   8026
 150000   | 内蒙古自治区     | 4  |  10759
 150000   | 内蒙古自治区     | 5  |  21131
 210000   | 辽宁省           | 1  |   1151
 210000   | 辽宁省           | 2  |   7266
 210000   | 辽宁省           | 3  |  12872
 210000   | 辽宁省           | 4  |  13842
 210000   | 辽宁省           | 5  |  21802
 220000   | 吉林省           | 1  |   1459
 220000   | 吉林省           | 2  |   2835
 220000   | 吉林省           | 3  |   4632
 220000   | 吉林省           | 4  |   4678
 220000   | 吉林省           | 5  |  11308
 230000   | 黑龙江省         | 1  |   1028
 230000   | 黑龙江省         | 2  |   2448
 230000   | 黑龙江省         | 3  |   5372
 230000   | 黑龙江省         | 4  |   3474
 230000   | 黑龙江省         | 5  |  11182
 310000   | 上海市           | 1  |    778
 310000   | 上海市           | 2  |   2446
 310000   | 上海市           | 3  |   8862
 310000   | 上海市           | 4  |  22747
 310000   | 上海市           | 5  |  39095
 320000   | 江苏省           | 1  |   2126
 320000   | 江苏省           | 2  |  10549
 320000   | 江苏省           | 3  |  36889
 320000   | 江苏省           | 4  |  74718
 320000   | 江苏省           | 5  | 125182
 330000   | 浙江省           | 1  |   1898
 330000   | 浙江省           | 2  |  10164
 330000   | 浙江省           | 3  |  28768
 330000   | 浙江省           | 4  |  51730
 330000   | 浙江省           | 5  | 166290
 340000   | 安徽省           | 1  |   1074
 340000   | 安徽省           | 2  |   7064
 340000   | 安徽省           | 3  |  17195
 340000   | 安徽省           | 4  |  21358
 340000   | 安徽省           | 5  |  57014
 350000   | 福建省           | 1  |   1300
 350000   | 福建省           | 2  |   5712
 350000   | 福建省           | 3  |  14141
 350000   | 福建省           | 4  |   8642
 350000   | 福建省           | 5  |  39982
 360000   | 江西省           | 1  |   1451
 360000   | 江西省           | 2  |   5833
 360000   | 江西省           | 3  |  10216
 360000   | 江西省           | 4  |  10622
 360000   | 江西省           | 5  |  22539
 370000   | 山东省           | 1  |   1852
