 prn_code |     prn_name     | fc |     off_dis      |     alt_dis      |     rou_dis      
 110000   | 北京市           | 1  | 2207809.49131996 | 1034379.13399198 | 1299897.77035585
 110000   | 北京市           | 2  | 2016029.74127046 | 1304255.76330571 | 1258028.21916606
 110000   | 北京市           | 3  | 4337098.80502765 | 3194957.09572059 | 3201619.04964264
 110000   | 北京市           | 4  | 4382881.39215186 | 1165427.76478128 | 908970.157439152
 110000   | 北京市           | 5  |  16719822.546118 | 3302272.48219315 | 3618564.09663991
 120000   | 天津市           | 1  | 3092380.26363929 | 1496006.75735545 | 2563205.70580359
 120000   | 天津市           | 2  | 1481118.50130837 | 1030893.75085984 | 968845.661709251
 120000   | 天津市           | 3  | 3253580.98663151 | 2725386.48945246 | 2631406.05890769
 120000   | 天津市           | 4  | 2883724.86774086 | 440117.539116873 | 123507.448940678
 120000   | 天津市           | 5  | 12408122.1660558 | 1449129.84174785 | 1003883.14341128
 130000   | 河北省           | 1  | 14966465.6001876 | 6387334.71763449 | 11781115.4447412
 130000   | 河北省           | 2  |  10997316.405745 | 4489623.63734316 | 9079692.02670245
 130000   | 河北省           | 3  | 18236477.5051499 | 7409278.09489401 | 13694012.9676926
 130000   | 河北省           | 4  | 5954354.52779735 |  677764.84774048 | 322948.829766501
 130000   | 河北省           | 5  | 58368255.1064265 | 3588048.00103377 | 29746667.5395307
 140000   | 山西省           | 1  | 11905663.2656493 | 6838597.30279636 | 11403941.5281184
 140000   | 山西省           | 2  |  7335696.8171138 | 2896829.23183085 |  5863613.3124091
 140000   | 山西省           | 3  | 11490230.2655972 | 5633911.80717243 | 9603572.20573143
 140000   | 山西省           | 4  |  4278634.0752692 | 641651.078698694 | 511836.617046502
 140000   | 山西省           | 5  | 41411128.0523196 | 5089992.93641527 | 27996559.8956056
 150000   | 内蒙古自治区     | 1  |  13935798.661809 | 6349421.38395453 |  13668611.476079
 150000   | 内蒙古自治区     | 2  | 13085285.4765839 | 2307304.73776155 | 11861382.1879224
 150000   | 内蒙古自治区     | 3  | 15276625.5227862 | 5411258.47804692 | 13028052.0104272
 150000   | 内蒙古自治区     | 4  | 5035765.56803382 | 617074.305387955 | 641470.384833475
 150000   | 内蒙古自治区     | 5  | 59766263.1419832 | 9598299.43362524 | 40299568.3554977
 210000   | 辽宁省           | 1  | 8673950.46940483 |  4788115.6089123 | 8368103.80379251
 210000   | 辽宁省           | 2  | 6182182.65211253 |  2600703.1051852 |  4690719.9416555
 210000   | 辽宁省           | 3  | 13060444.4738438 | 7766914.35142426 | 9158338.52582783
 210000   | 辽宁省           | 4  | 7187905.81346636 | 1254573.80061702 | 351983.929097045
 210000   | 辽宁省           | 5  | 36852606.6322875 | 3635307.81426508 | 4364721.44616793
 220000   | 吉林省           | 1  | 8814113.42743974 | 4213298.55422249 | 8293282.36790163
 220000   | 吉林省           | 2  | 3882853.12024981 | 1021174.30098696 | 3224906.08311462
 220000   | 吉林省           | 3  | 6168214.80484489 | 2632912.12335797 |  4784689.8160429
 220000   | 吉林省           | 4  | 4350496.25392414 |  554783.39104062 | 2052505.29631127
