 prn_code | prn_name | fc |       sum        
 110000   |          | 1  | 2198039.35785351
 110000   |          | 2  | 2007052.27343417
 110000   |          | 3  | 4317667.72464813
 110000   |          | 4  | 4363556.72254253
 110000   |          | 5  | 16646134.0794081
 120000   |          | 1  | 3082050.34527701
 120000   |          | 2  | 1476041.11343429
 120000   |          | 3  | 3242162.78877617
 120000   |          | 4  | 2874061.96097716
 120000   |          | 5  | 12365537.8103732
 130000   |          | 1  | 14884702.6458871
 130000   |          | 2  | 10939870.5020246
 130000   |          | 3  | 18145662.6490717
 130000   |          | 4  |  5923424.8153896
 130000   |          | 5  | 58063083.3528483
 140000   |          | 1  | 11770345.2824254
 140000   |          | 2  |  7252886.6847994
 140000   |          | 3  | 11361327.9979267
 140000   |          | 4  | 4230518.51469265
 140000   |          | 5  | 40931167.1775445
 150000   |          | 1  | 13712530.6162642
 150000   |          | 2  |  12997927.157114
 150000   |          | 3  | 15115169.7969971
 150000   |          | 4  | 4972423.79860365
 150000   |          | 5  |  59208898.565017
 210000   |          | 1  | 8666342.71020939
 210000   |          | 2  | 6177173.37339512
 210000   |          | 3  | 13048985.9026297
 210000   |          | 4  | 7182085.31448161
 210000   |          | 5  | 36823531.9658001
 220000   |          | 1  | 8797577.25024213
 220000   |          | 2  | 3875311.83608704
 220000   |          | 3  | 6157319.59667666
 220000   |          | 4  | 4343519.34764007
 220000   |          | 5  | 31424724.5033993
 230000   |          | 1  | 10396633.2879106
 230000   |          | 2  | 3925796.72475147
 230000   |          | 3  | 10208043.9393621
 230000   |          | 4  | 2424277.91861564
 230000   |          | 5  | 49244477.5055033
 310000   |          | 1  | 1916707.73127867
 310000   |          | 2  | 1408256.78627648
 310000   |          | 3  | 2846740.94886165
 310000   |          | 4  | 5464667.90330199
 310000   |          | 5  | 17958309.3934254
 320000   |          | 1  | 9939746.16746617
 320000   |          | 2  | 8725729.60010244
 320000   |          | 3  | 21879040.4784026
 320000   |          | 4  | 22084611.8480378
 320000   |          | 5  |  101913017.44977
 330000   |          | 1  | 9756288.79797981
 330000   |          | 2  | 6053608.73919266
 330000   |          | 3  | 12787665.8465296
 330000   |          | 4  | 13083064.8020247
 330000   |          | 5  | 72344931.4061792
 340000   |          | 1  | 10112137.1041355
 340000   |          | 2  | 6153548.79438627
 340000   |          | 3  | 12477645.9850297
 340000   |          | 4  | 6663163.48177583
 340000   |          | 5  | 62730881.8774503
 350000   |          | 1  |  10484120.659531
 350000   |          | 2  | 5051279.34716806
 350000   |          | 3  | 11425852.7673295
 350000   |          | 4  | 2811107.85360047
 350000   |          | 5  | 33949706.7756525
 360000   |          | 1  | 12419128.4335684
 360000   |          | 2  | 6604659.72813859
 360000   |          | 3  | 10670744.3584076
 360000   |          | 4  | 5851957.72927584
 360000   |          | 5  | 50344170.3546278
 370000   |          | 1  | 13639475.0904751
 370000   |          | 2  | 11513908.5883838
 370000   |          | 3  | 29473772.1961576
 370000   |          | 4  | 14461783.6184735
 370000   |          | 5  | 55288186.7873187
 410000   |          | 1  | 14981724.2060764
 410000   |          | 2  | 8961347.20876902
 410000   |          | 3  | 18672854.4913652
 410000   |          | 4  | 9192117.42697532
 410000   |          | 5  | 58314121.2095918
 420000   |          | 1  | 13370464.7059782
 420000   |          | 2  |  8877366.4008411
 420000   |          | 3  | 12999313.0793831
 420000   |          | 4  | 4676365.07961217
 420000   |          | 5  | 51500905.3065889
 430000   |          | 1  | 13920440.9108586
 430000   |          | 2  | 6549511.59312197
 430000   |          | 3  | 12467353.6906256
 430000   |          | 4  | 5330347.25133468
 430000   |          | 5  | 52998962.2585717
 440000   |          | 1  | 19876459.8423652
 440000   |          | 2  | 11483885.1531608
 440000   |          | 3  | 22145205.3225595
 440000   |          | 4  | 13526340.3396354
 440000   |          | 5  | 102178091.364874
 450000   |          | 1  | 12077058.7288695
 450000   |          | 2  |  6418813.1711785
 450000   |          | 3  |  9855286.6490395
 450000   |          | 4  | 1885808.76469117
 450000   |          | 5  |  41644715.126908
 460000   |          | 1  | 2477809.26149033
 460000   |          | 2  | 1336709.35212375
 460000   |          | 3  | 2581619.37958677
 460000   |          | 4  | 582359.760482011
 460000   |          | 5  |  9566056.1238671
 500000   |          | 1  | 6843385.40254657
 500000   |          | 2  | 1864707.54479284
 500000   |          | 3  | 9018076.83180595
 500000   |          | 4  | 2007562.72596626
 500000   |          | 5  | 27063283.9978551
 510000   |          | 1  | 15707112.2058143
 510000   |          | 2  |  7840791.3108814
 510000   |          | 3  | 16319846.8666573
 510000   |          | 4  |  7325061.4615531
 510000   |          | 5  | 75254596.2257937
