tollcost_id:58, prn:13, road_type:B, name:按道路收费, alias:. 
tollcost_id:70, prn:63, road_type:B, name:按道路收费, alias:. 
tollcost_id:135, prn:33, road_type:B, name:金塘大桥, alias:. 
tollcost_id:209, prn:62, road_type:B, name:靖远黄河大桥, alias:. 
tollcost_id:235, prn:11, road_type:B, name:按道路收费, alias:. 
tollcost_id:353, prn:43, road_type:B, name:仙江大桥｜通平高速, alias:. 
tollcost_id:417, prn:42, road_type:B, name:武汉白沙洲大桥, alias:. 
tollcost_id:418, prn:42, road_type:B, name:长丰桥, alias:. 
tollcost_id:419, prn:42, road_type:B, name:武汉天兴洲长江大桥, alias:. 
tollcost_id:420, prn:42, road_type:B, name:阳逻大桥, alias:. 
tollcost_id:425, prn:42, road_type:B, name:二七长江大桥, alias:. 
tollcost_id:426, prn:42, road_type:B, name:鹦鹉洲长江大桥, alias:. 
tollcost_id:427, prn:42, road_type:B, name:武汉长江二桥, alias:. 
tollcost_id:428, prn:42, road_type:B, name:月湖桥, alias:. 
tollcost_id:429, prn:42, road_type:B, name:江汉六桥, alias:. 
tollcost_id:556, prn:44, road_type:B, name:洛溪大桥, alias:. 
tollcost_id:737, prn:61, road_type:B, name:秃尾河大桥｜Ｓ２０榆商高速, alias:. 
tollcost_id:740, prn:61, road_type:B, name:草滩渭河大桥, alias:. 
tollcost_id:803, prn:22, road_type:B, name:按道路收费, alias:. 
tollcost_id:924, prn:52, road_type:B, name:按道路收费, alias:. 
tollcost_id:940, prn:50, road_type:B, name:按道路收费, alias:. 
tollcost_id:990, prn:37, road_type:B, name:平阴黄河大桥, alias:. 
tollcost_id:1014, prn:65, road_type:B, name:按道路收费, alias:. 
tollcost_id:1058, prn:14, road_type:B, name:按道路收费, alias:. 
tollcost_id:1091, prn:53, road_type:B, name:按道路收费, alias:. 
tollcost_id:1118, prn:21, road_type:B, name:按道路收费, alias:. 
tollcost_id:1140, prn:12, road_type:B, name:按道路收费, alias:. 
tollcost_id:1284, prn:42, road_type:B, name:晴川桥, alias:. 
tollcost_id:1381, prn:64, road_type:B, name:中宁黄河大桥, alias:. 
tollcost_id:1423, prn:61, road_type:B, name:兴户渭河大桥收费站, alias:. 
tollcost_id:1, prn:13, road_type:N, name:２０５国道, alias:. 
tollcost_id:7, prn:13, road_type:N, name:Ｇ２２青兰高速, alias:绕城高速. 
tollcost_id:12, prn:13, road_type:N, name:Ｇ４京港澳高速, alias:京珠高速｜京石高速. 
tollcost_id:19, prn:13, road_type:N, name:Ｓ２３京哈高速迁西支线, alias:. 
tollcost_id:25, prn:13, road_type:N, name:保沧高速, alias:. 
tollcost_id:31, prn:13, road_type:N, name:廊涿高速, alias:. 
tollcost_id:38, prn:13, road_type:N, name:邢临高速, alias:. 
tollcost_id:46, prn:13, road_type:N, name:Ｓ０１２沿海高速, alias:. 
tollcost_id:54, prn:13, road_type:N, name:石安高速, alias:. 
tollcost_id:68, prn:63, road_type:N, name:宁互一级公路, alias:１０２省道. 
tollcost_id:72, prn:64, road_type:N, name:１０９国道, alias:. 
tollcost_id:73, prn:64, road_type:N, name:１１０国道, alias:. 
tollcost_id:74, prn:64, road_type:N, name:３０７国道, alias:. 
tollcost_id:75, prn:64, road_type:N, name:３１２国道, alias:４１５县道. 
tollcost_id:86, prn:64, road_type:N, name:石银高速, alias:. 
tollcost_id:138, prn:36, road_type:N, name:１０５国道, alias:. 

tollcost_id:139, prn:36, road_type:N, name:２０６国道, alias:. 
tollcost_id:140, prn:36, road_type:N, name:２３１省道, alias:３２７省道｜４１４县道｜龙留段. 
tollcost_id:141, prn:36, road_type:N, name:３１６国道, alias:. 
tollcost_id:142, prn:36, road_type:N, name:３２０国道, alias:. 
tollcost_id:143, prn:36, road_type:N, name:３２５省道, alias:３４１省道. 
tollcost_id:144, prn:36, road_type:N, name:３２９省道, alias:２０８省道｜２１５省道. 
tollcost_id:165, prn:36, road_type:N, name:Ｓ６６康大高速, alias:赣韶高速. 
tollcost_id:167, prn:36, road_type:N, name:八新段, alias:２２０省道｜６１１县道. 
tollcost_id:170, prn:36, road_type:N, name:高丰路, alias:３２１省道｜２２２省道. 
tollcost_id:174, prn:36, road_type:N, name:万宜高速, alias:. 
tollcost_id:177, prn:36, road_type:N, name:抚金高速, alias:. 
tollcost_id:178, prn:36, road_type:N, name:寻全高速, alias:. 
tollcost_id:186, prn:62, road_type:N, name:２０２省道, alias:. 
tollcost_id:187, prn:62, road_type:N, name:２０３省道, alias:２１２省道. 
tollcost_id:188, prn:62, road_type:N, name:２０７省道, alias:. 
tollcost_id:189, prn:62, road_type:N, name:２１１省道, alias:. 
tollcost_id:190, prn:62, road_type:N, name:２１２国道, alias:. 
tollcost_id:191, prn:62, road_type:N, name:２１３国道, alias:. 
tollcost_id:192, prn:62, road_type:N, name:２１８省道, alias:. 
tollcost_id:193, prn:62, road_type:N, name:３０４省道, alias:. 
tollcost_id:194, prn:62, road_type:N, name:３１２省道, alias:. 
tollcost_id:204, prn:62, road_type:N, name:徐古公路, alias:３１２国道. 
tollcost_id:231, prn:11, road_type:N, name:北皋桥, alias:. 
tollcost_id:237, prn:23, road_type:N, name:Ｓ１９嫩泰高速, alias:. 
tollcost_id:251, prn:23, road_type:N, name:黑大公路, alias:２０２国道. 
tollcost_id:254, prn:23, road_type:N, name:Ｓ２０２前嫩高速, alias:. 
tollcost_id:272, prn:35, road_type:N, name:Ｓ１５２１福州连接线, alias:福泉高速. 
tollcost_id:286, prn:35, road_type:N, name:Ｇ１５０３厦成高速, alias:环厦高速. 
tollcost_id:291, prn:35, road_type:N, name:梅大高速, alias:. 
tollcost_id:304, prn:43, road_type:N, name:２０７国道, alias:. 
tollcost_id:385, prn:42, road_type:N, name:Ｓ５武英高速, alias:汉英高速. 
tollcost_id:387, prn:42, road_type:N, name:Ｓ７武鄂高速, alias:. 
tollcost_id:389, prn:42, road_type:N, name:谌家矶大道, alias:汉施路｜１１１省道. 
tollcost_id:396, prn:42, road_type:N, name:Ｓ１１平汝高速, alias:通平高速. 
tollcost_id:399, prn:42, road_type:N, name:Ｓ７８蕲嘉高速, alias:. 
tollcost_id:400, prn:42, road_type:N, name:岳宜高速, alias:. 
tollcost_id:403, prn:42, road_type:N, name:Ｓ７９宣黔高速, alias:恩黔高速. 
tollcost_id:409, prn:42, road_type:N, name:Ｓ７３恩来高速, alias:Ｓ７９宣黔高速. 
tollcost_id:443, prn:45, road_type:N, name:Ｓ３１三北高速, alias:南北高速. 
tollcost_id:458, prn:45, road_type:N, name:靖那高速, alias:. 
tollcost_id:485, prn:44, road_type:N, name:１０６国道, alias:. 
tollcost_id:487, prn:44, road_type:N, name:２０７国道, alias:. 
tollcost_id:488, prn:44, road_type:N, name:２５３省道, alias:. 
tollcost_id:489, prn:44, road_type:N, name:３２３国道, alias:２２４省道. 
tollcost_id:517, prn:44, road_type:N, name:Ｓ２７仁深高速, alias:博深高速. 
tollcost_id:532, prn:44, road_type:N, name:Ｓ４Ｗ广澳高速珠海支线, alias:广澳高速｜京珠高速｜京珠高速东段. 
tollcost_id:539, prn:44, road_type:N, name:荔新公路, alias:１１９省道. 
tollcost_id:540, prn:44, road_type:N, name:清连高速, alias:１０７国道. 
tollcost_id:548, prn:44, road_type:N, name:肇花高速, alias:. 
tollcost_id:572, prn:51, road_type:N, name:Ｓ４成自泸高速, alias:. 
tollcost_id:574, prn:51, road_type:N, name:Ｓ２０万广高速, alias:. 
tollcost_id:575, prn:51, road_type:N, name:Ｓ１６万广高速, alias:广巴高速. 
tollcost_id:577, prn:51, road_type:N, name:绕城高速, alias:. 
tollcost_id:583, prn:51, road_type:N, name:１０８国道, alias:. 
tollcost_id:588, prn:51, road_type:N, name:Ｓ４成泸高速, alias:Ｓ４成赤高速. 
tollcost_id:590, prn:51, road_type:N, name:酒都大道, alias:Ｇ８５渝昆高速｜内宜高速｜宜水高速. 
tollcost_id:598, prn:51, road_type:N, name:Ｓ４０遂资眉高速, alias:. 
tollcost_id:600, prn:51, road_type:N, name:Ｓ２２万广高速, alias:. 
tollcost_id:732, prn:61, road_type:N, name:银百高速, alias:. 
tollcost_id:777, prn:15, road_type:N, name:机场高速, alias:. 
tollcost_id:778, prn:15, road_type:N, name:包东高速, alias:. 
tollcost_id:812, prn:32, road_type:N, name:徐丰公路, alias:３２２省道. 
tollcost_id:813, prn:32, road_type:N, name:３２２省道, alias:２０２县道. 
tollcost_id:819, prn:32, road_type:N, name:Ｓ５常嘉高速, alias:苏州绕城高速｜绕城东线. 
tollcost_id:824, prn:32, road_type:N, name:３１２国道, alias:２３０省道. 
tollcost_id:829, prn:32, road_type:N, name:Ｇ４０沪陕高速, alias:Ｇ４２沪蓉高速｜３１２国道｜宁合高速. 
tollcost_id:830, prn:32, road_type:N, name:１２４省道, alias:. 
tollcost_id:834, prn:32, road_type:N, name:天禄大道, alias:１２３省道. 
tollcost_id:835, prn:32, road_type:N, name:Ｓ８８南京机场高速, alias:. 
